year,degree,gap,std
2009,Other,-10,20
2009,STEM,-30,50
2010,Other,10,20
2010,STEM,-10,50
2011,Other,10,20
2011,STEM,-40,50
2012,Other,-10,20
2012,STEM,-30,50
2013,Other,-10,20
2013,STEM,-40,50
2014,Other,0,20
2014,STEM,20,50
2015,Other,-10,20
2015,STEM,-10,50
2016,Other,0,20
2016,STEM,0,50
2017,Other,-20,20
2017,STEM,10,50
2018,Other,-40,20
2018,STEM,-20,50
