year,degree,gap,std
2009,Other,40,80
2009,STEM,60,100
2010,Other,-20,60
2010,STEM,-10,60
2011,Other,-10,70
2011,STEM,-50,60
2012,Other,-10,60
2012,STEM,-80,40
2013,Other,-60,40
2013,STEM,-70,100
2014,Other,-50,80
2014,STEM,-55,100
2015,Other,-45,60
2015,STEM,-150,60
2016,Other,-40,60
2016,STEM,-130,60
2017,Other,-130,80
2017,STEM,-70,60
2018,Other,-70,100
2018,STEM,-230,100
