year,degree,gap,std
2009,Other,100,100
2009,STEM,-100,125
2010,Other,110,50
2010,STEM,125,125
2011,Other,-20,50
2011,STEM,-10,125
2012,Other,-20,50
2012,STEM,80,125
2013,Other,-50,50
2013,STEM,-150,125
2014,Other,-40,50
2014,STEM,-190,125
2015,Other,-50,50
2015,STEM,-20,125
2016,Other,-50,70
2016,STEM,-200,125
2017,Other,-40,50
2017,STEM,-190,125
2018,Other,-90,50
2018,STEM,-50,125
